innings,team,wicket_number,player_out,score,over
1,Lucknow Super Giants,1,RR Pant,19,3.0
1,Lucknow Super Giants,2,AK Markram,48,5.5
1,Lucknow Super Giants,3,A Badoni,49,6.3
1,Lucknow Super Giants,4,N Pooran,65,8.5
1,Lucknow Super Giants,5,MR Marsh,71,9.3
1,Lucknow Super Giants,6,MD Choudhary,105,13.1
1,Lucknow Super Giants,7,Abdul Samad,138,17.3
1,Lucknow Super Giants,8,Mohammed Shami,140,18.0
1,Lucknow Super Giants,9,A Nortje,141,18.3
1,Lucknow Super Giants,10,Mohsin Khan,141,18.4
2,Delhi Capitals,1,KL Rahul,0,0.1
2,Delhi Capitals,2,N Rana,21,3.3
2,Delhi Capitals,3,P Nissanka,25,4.2
2,Delhi Capitals,4,AR Patel,26,4.3
