player,team,role,matches
A Badoni,Lucknow Super Giants,all-rounder,8
A Kamboj,Chennai Super Kings,all-rounder,8
A Mhatre,Chennai Super Kings,batter,6
A Nortje,Lucknow Super Giants,all-rounder,1
A Raghuvanshi,Kolkata Knight Riders,batter,8
AJ Hosein,Chennai Super Kings,all-rounder,4
AK Markram,Lucknow Super Giants,all-rounder,8
AM Ghazanfar,Mumbai Indians,bowler,5
AM Rahane,Kolkata Knight Riders,batter,8
AR Patel,Delhi Capitals,all-rounder,8
AS Roy,Kolkata Knight Riders,all-rounder,7
Abdul Samad,Lucknow Super Giants,all-rounder,5
Abhinandan Singh,Royal Challengers Bengaluru,bowler,3
Abhishek Sharma,Sunrisers Hyderabad,all-rounder,8
Abishek Porel,Delhi Capitals,batter,1
Aniket Verma,Sunrisers Hyderabad,batter,7
Arshad Khan,Gujarat Titans,bowler,1
Arshdeep Singh,Punjab Kings,bowler,7
Ashok Sharma,Gujarat Titans,all-rounder,6
Ashutosh Sharma,Delhi Capitals,batter,2
Ashwani Kumar,Mumbai Indians,all-rounder,2
Auqib Nabi,Delhi Capitals,all-rounder,3
Avesh Khan,Lucknow Super Giants,all-rounder,5
B Kumar,Royal Challengers Bengaluru,all-rounder,8
B Muzarabani,Kolkata Knight Riders,bowler,2
B Sai Sudharsan,Gujarat Titans,batter,8
Brijesh Sharma,Rajasthan Royals,all-rounder,5
C Bosch,Mumbai Indians,all-rounder,1
C Connolly,Punjab Kings,batter,6
C Green,Kolkata Knight Riders,all-rounder,8
CV Varun,Kolkata Knight Riders,all-rounder,6
D Brevis,Chennai Super Kings,batter,4
D Ferreira,Rajasthan Royals,all-rounder,5
D Madushanka,Sunrisers Hyderabad,bowler,1
D Padikkal,Royal Challengers Bengaluru,batter,7
DA Miller,Delhi Capitals,batter,7
DA Payne,Sunrisers Hyderabad,all-rounder,2
DL Chahar,Mumbai Indians,all-rounder,3
DS Rathi,Lucknow Super Giants,all-rounder,6
DV Malewar,Mumbai Indians,batter,2
Dhruv Jurel,Rajasthan Royals,batter,8
E Malinga,Sunrisers Hyderabad,bowler,8
FH Allen,Kolkata Knight Riders,batter,5
GD Phillips,Gujarat Titans,batter,5
GF Linde,Lucknow Super Giants,all-rounder,3
Gurjapneet Singh,Chennai Super Kings,bowler,5
H Klaasen,Sunrisers Hyderabad,batter,8
HH Pandya,Mumbai Indians,all-rounder,6
HV Patel,Sunrisers Hyderabad,all-rounder,3
Harsh Dubey,Sunrisers Hyderabad,all-rounder,6
Himmat Singh,Lucknow Super Giants,batter,3
Ishan Kishan,Sunrisers Hyderabad,batter,8
J Overton,Chennai Super Kings,all-rounder,7
JA Duffy,Royal Challengers Bengaluru,bowler,3
JC Archer,Rajasthan Royals,all-rounder,8
JC Buttler,Gujarat Titans,batter,8
JD Unadkat,Sunrisers Hyderabad,all-rounder,4
JG Bethell,Royal Challengers Bengaluru,batter,2
JJ Bumrah,Mumbai Indians,all-rounder,7
JM Sharma,Royal Challengers Bengaluru,batter,6
JO Holder,Gujarat Titans,all-rounder,2
JR Hazlewood,Royal Challengers Bengaluru,bowler,5
K Rabada,Gujarat Titans,all-rounder,8
KA Jamieson,Delhi Capitals,all-rounder,1
KH Pandya,Royal Challengers Bengaluru,all-rounder,8
KK Ahmed,Chennai Super Kings,bowler,5
KK Nair,Delhi Capitals,batter,1
KL Rahul,Delhi Capitals,batter,8
Kartik Sharma,Chennai Super Kings,batter,5
Kartik Tyagi,Kolkata Knight Riders,all-rounder,7
Krish Bhagat,Mumbai Indians,all-rounder,2
Kuldeep Yadav,Delhi Capitals,all-rounder,8
Kumar Kushagra,Gujarat Titans,batter,1
L Ngidi,Delhi Capitals,all-rounder,6
LG Pretorius,Rajasthan Royals,batter,1
LS Livingstone,Sunrisers Hyderabad,batter,2
M Jansen,Punjab Kings,all-rounder,6
M Markande,Mumbai Indians,bowler,3
M Prasidh Krishna,Gujarat Titans,bowler,7
M Shahrukh Khan,Gujarat Titans,batter,4
M Siddharth,Lucknow Super Giants,bowler,3
MD Choudhary,Lucknow Super Giants,batter,8
MJ Henry,Chennai Super Kings,all-rounder,3
MJ Santner,Mumbai Indians,all-rounder,4
MJ Suthar,Gujarat Titans,bowler,2
MK Pandey,Kolkata Knight Riders,batter,0
MP Stoinis,Punjab Kings,all-rounder,5
MP Yadav,Lucknow Super Giants,all-rounder,1
MR Marsh,Lucknow Super Giants,batter,8
MW Short,Chennai Super Kings,all-rounder,2
Mohammed Shami,Lucknow Super Giants,all-rounder,8
Mohammed Siraj,Gujarat Titans,all-rounder,8
Mohsin Khan,Lucknow Super Giants,all-rounder,4
Mukesh Choudhary,Chennai Super Kings,bowler,2
Mukesh Kumar,Delhi Capitals,bowler,7
N Burger,Rajasthan Royals,all-rounder,8
N Pooran,Lucknow Super Giants,batter,8
N Rana,Delhi Capitals,all-rounder,6
N Wadhera,Punjab Kings,batter,5
Naman Dhir,Mumbai Indians,batter,7
Navdeep Saini,Kolkata Knight Riders,bowler,1
Nithish Kumar Reddy,Sunrisers Hyderabad,all-rounder,8
Noor Ahmad,Chennai Super Kings,all-rounder,8
P Nissanka,Delhi Capitals,batter,7
P Simran Singh,Punjab Kings,batter,6
PD Salt,Royal Challengers Bengaluru,batter,6
PJ Cummins,Sunrisers Hyderabad,bowler,1
PP Hinge,Sunrisers Hyderabad,all-rounder,3
PR Veer,Chennai Super Kings,batter,2
PVD Chameera,Delhi Capitals,all-rounder,1
Prince Yadav,Lucknow Super Giants,all-rounder,8
Priyansh Arya,Punjab Kings,batter,6
Q de Kock,Mumbai Indians,batter,3
R Parag,Rajasthan Royals,all-rounder,8
R Powell,Kolkata Knight Riders,batter,5
R Shepherd,Royal Challengers Bengaluru,all-rounder,8
R Tewatia,Gujarat Titans,batter,6
RA Bawa,Mumbai Indians,batter,0
RA Jadeja,Rajasthan Royals,all-rounder,7
RD Chahar,Chennai Super Kings,bowler,1
RD Gaikwad,Chennai Super Kings,batter,8
RD Rickelton,Mumbai Indians,batter,5
RG Sharma,Mumbai Indians,batter,4
RK Singh,Kolkata Knight Riders,batter,7
RM Patidar,Royal Challengers Bengaluru,batter,7
RR Pant,Lucknow Super Giants,batter,8
Ramandeep Singh,Kolkata Knight Riders,all-rounder,6
Rashid Khan,Gujarat Titans,all-rounder,8
Rasikh Salam,Royal Challengers Bengaluru,bowler,5
Ravi Bishnoi,Rajasthan Royals,all-rounder,8
Ravi Singh,Rajasthan Royals,batter,0
S Arora,Sunrisers Hyderabad,batter,6
S Dube,Chennai Super Kings,all-rounder,8
SA Yadav,Mumbai Indians,batter,7
SB Dubey,Rajasthan Royals,batter,1
SE Rutherford,Mumbai Indians,batter,6
SN Khan,Chennai Super Kings,batter,7
SN Thakur,Mumbai Indians,all-rounder,6
SO Hetmyer,Rajasthan Royals,batter,6
SP Narine,Kolkata Knight Riders,all-rounder,7
SS Iyer,Punjab Kings,batter,6
SU Parakh,Delhi Capitals,batter,1
SV Samson,Chennai Super Kings,batter,8
Sakib Hussain,Sunrisers Hyderabad,bowler,4
Sameer Rizvi,Delhi Capitals,batter,7
Sandeep Sharma,Rajasthan Royals,bowler,5
Shahbaz Ahmed,Lucknow Super Giants,all-rounder,1
Shashank Singh,Punjab Kings,all-rounder,6
