innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Chennai Super Kings,1,SV Samson,11,15,RD Gaikwad,10,6,21,21
1,Chennai Super Kings,2,Urvil Patel,4,3,RD Gaikwad,0,0,4,3
1,Chennai Super Kings,3,RD Gaikwad,1,3,SN Khan,0,1,1,4
1,Chennai Super Kings,4,D Brevis,2,9,RD Gaikwad,7,13,11,22
1,Chennai Super Kings,5,S Dube,22,17,RD Gaikwad,30,26,59,43
1,Chennai Super Kings,6,Kartik Sharma,15,9,RD Gaikwad,11,5,26,14
1,Chennai Super Kings,7,J Overton,18,6,RD Gaikwad,1,1,21,7
1,Chennai Super Kings,8,RD Gaikwad,14,6,AJ Hosein,0,0,15,6
2,Gujarat Titans,1,B Sai Sudharsan,24,15,Shubman Gill,33,23,58,38
2,Gujarat Titans,2,JC Buttler,33,29,B Sai Sudharsan,63,31,97,60
2,Gujarat Titans,3,Washington Sundar,1,1,JC Buttler,6,1,7,2
