match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
1,Royal Challengers Bengaluru,TM Head,11,9,2,0,122.22,c PD Salt b JA Duffy
1,Royal Challengers Bengaluru,Abhishek Sharma,7,8,0,1,87.5,c JM Sharma b JA Duffy
1,Royal Challengers Bengaluru,Ishan Kishan,80,38,8,5,210.53,c PD Salt b Abhinandan Singh
1,Royal Challengers Bengaluru,Nithish Kumar Reddy,1,6,0,0,16.67,c Abhinandan Singh b JA Duffy
1,Royal Challengers Bengaluru,H Klaasen,31,22,2,1,140.91,c PD Salt b R Shepherd
1,Royal Challengers Bengaluru,S Arora,9,6,0,1,150.0,c D Padikkal b Suyash Sharma
1,Royal Challengers Bengaluru,Aniket Verma,43,18,3,4,238.89,c V Kohli b R Shepherd
1,Royal Challengers Bengaluru,Harsh Dubey,3,3,0,0,100.0,c D Padikkal b R Shepherd
1,Royal Challengers Bengaluru,HV Patel,0,2,0,0,0.0,c D Padikkal b B Kumar
1,Royal Challengers Bengaluru,DA Payne,6,5,0,0,120.0,not out
1,Royal Challengers Bengaluru,JD Unadkat,4,3,0,0,133.33,not out
