innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,SV Samson,14,2.0
1,Chennai Super Kings,2,RD Gaikwad,19,3.0
1,Chennai Super Kings,3,A Mhatre,19,3.1
1,Chennai Super Kings,4,MW Short,38,5.3
1,Chennai Super Kings,5,SN Khan,51,7.2
1,Chennai Super Kings,6,S Dube,57,8.0
1,Chennai Super Kings,7,Kartik Sharma,74,10.3
1,Chennai Super Kings,8,Noor Ahmad,82,12.5
1,Chennai Super Kings,9,MJ Henry,94,15.3
1,Chennai Super Kings,10,J Overton,127,19.4
2,Rajasthan Royals,1,V Suryavanshi,75,6.2
2,Rajasthan Royals,2,Dhruv Jurel,99,8.3
