innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,V Suryavanshi,70,7.2
1,Rajasthan Royals,2,YBK Jaiswal,126,13.3
1,Rajasthan Royals,3,R Parag,135,14.2
1,Rajasthan Royals,4,SO Hetmyer,165,16.3
1,Rajasthan Royals,5,D Ferreira,166,17.1
1,Rajasthan Royals,6,Dhruv Jurel,205,20.3
2,Gujarat Titans,1,Kumar Kushagra,78,8.6
2,Gujarat Titans,2,B Sai Sudharsan,107,11.4
2,Gujarat Titans,3,GD Phillips,127,13.1
2,Gujarat Titans,4,Washington Sundar,131,13.3
2,Gujarat Titans,5,JC Buttler,133,14.1
2,Gujarat Titans,6,R Tewatia,155,15.3
2,Gujarat Titans,7,M Shahrukh Khan,161,15.5
2,Gujarat Titans,8,Rashid Khan,204,20.5
