match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
3,Rajasthan Royals,SV Samson,6,7,1,0,85.71,b N Burger
3,Rajasthan Royals,RD Gaikwad,6,11,1,0,54.55,b JC Archer
3,Rajasthan Royals,A Mhatre,0,1,0,0,0.0,c Dhruv Jurel b N Burger
3,Rajasthan Royals,MW Short,2,7,0,0,28.57,c YBK Jaiswal b Sandeep Sharma
3,Rajasthan Royals,SN Khan,17,12,2,1,141.67,lbw b RA Jadeja
3,Rajasthan Royals,Kartik Sharma,18,15,0,1,120.0,lbw b Brijesh Sharma
3,Rajasthan Royals,S Dube,6,4,0,1,150.0,c Ravi Bishnoi b RA Jadeja
3,Rajasthan Royals,J Overton,43,36,2,2,119.44,"run out (Dhruv Jurel, SO Hetmyer)"
3,Rajasthan Royals,Noor Ahmad,1,9,0,0,11.11,c Dhruv Jurel b JC Archer
3,Rajasthan Royals,MJ Henry,5,7,1,0,71.43,c & b Ravi Bishnoi
3,Rajasthan Royals,A Kamboj,7,10,1,0,70.0,not out
